#Zeit  T1    T2    p1    p2    W
0     20.6  19.8  4.8   5     175.0
1     21.6  19.8  2.2   5.5   175.0
2     22.2  19.8  2.6   6.6   175.0
3     23.4  19.0  2.8   7.04  177.5
4     25.3  17.2  3.0   7.6   195.0
5     26.7  15.9  3.1   8     200.0
6     28.7  14.0  3.2   8.4   202.5
7     30.6  12.1  3.2   8.75  205.0
8     32.6  10.3  3.2   9.2   207.5
9     34.5  8.5   3.2   9.5   207.5
10    36.3  6.8   3.2   10.0  210.0
11    38.1  5.1   3.2   10.4  210.0
12    39.8  3.5   3.2   10.7  212.5
13    41.6  2.0   3.2   11.1  212.5
14    43.2  0.8   3.2   11.5  212.5
15    44.7  0.1   3.2   11.9  210.0
16    46.2  -0.4  3.2   12.2  207.5
17    47.5  -0.9  3.2   12.5  205.0
18    48.7  -1.3  3.15  12.9  205.0
19    49.9  -1.8  3.15  13.1  205.0


