2.00    10.0   1.00 0.3
4.00    10.0   1.00 0.3
5.00    10.2   1.02 0.3
7.50    10.4   1.04 0.3
9.00    10.6   1.06 0.3
11.00   11.0   1.10 0.3
14.00   11.5   1.15 0.3
16.00   12.0   1.20 0.3
18.00   12.6   1.26 0.3
18.65   13.0   1.30 0.3
19.50   13.6   1.36 0.3
20.30   14.0   1.40 0.3
21.00   14.6   1.46 0.3
21.45   15.0   1.50 0.3
22.50   15.8   1.58 0.3
23.00   16.3   1.63 0.3
23.60   16.9   1.69 0.3
24.20   17.6   1.76 0.3
24.55   18.0   1.80 0.3
25.00   18.6   1.86 0.3
25.35   19.0   1.90 0.3
25.65   19.4   1.94 0.3
26.10   20.1   2.01 0.3
26.50   20.7   2.07 0.3
26.80   21.2   2.12 0.3
27.10   21.7   2.17 0.3
27.15   22.4   2.24 0.3
27.50   22.8   2.28 0.3
28.00   24.0   2.40 0.3
28.40   24.8   2.48 0.3
28.60   25.2   2.52 0.3
29.05   26.4   2.64 0.3
29.35   27.2   2.72 0.3
29.50   27.6   2.76 0.3
29.85   28.4   2.84 0.3
30.00   28.8   2.88 0.3
30.15   29.2   2.92 0.3
30.25   29.6   2.96 0.3
30.45   30.0   3.00 0.3
30.55   30.4   3.04 0.3
30.70   30.8   3.08 0.3
30.85   31.2   3.12 0.3
31.00   31.6   3.16 0.3
31.10   32.0   3.20 0.3
31.25   32.4   3.24 0.3
31.55   33.4   3.34 0.3
31.70   33.2   3.32 0.3
31.90   34.0   3.40 0.3
32.20   34.8   3.48 0.3
32.35   35.2   3.52 0.3
32.55   35.6   3.56 0.3
32.80   36.0   3.60 0.3
33.35   36.8   3.68 0.3
34.00   37.2   3.72 0.3
34.50   36.8   3.68 0.3
35.00   36.4   3.64 0.3
35.50   35.2   3.52 0.3
36.00   33.6   3.36 0.3
36.50   32.3   3.23 0.3
37.00   30.6   3.06 0.3
37.50   29.0   2.90 0.3
38.00   27.2   2.72 0.3
38.50   25.6   2.56 0.3
39.00   24.0   2.40 0.3
39.50   22.4   2.24 0.3
40.00   21.2   2.12 0.3
41.00   19.0   1.90 0.3
42.00   16.8   1.68 0.3
43.00   15.2   1.52 0.3
44.00   14.0   1.40 0.3
45.00   12.8   1.28 0.3
46.00   11.6   1.16 0.3
47.00   10.8   1.08 0.3
48.00   10.0   1.00 0.3
49.00   9.2    0.92 0.3
50.00   8.6    0.86 0.3
55.00   6.4    0.64 0.3
