0.0   0.00   0.0000 0.02
2.0   0.00   0.0000 0.02
5.0   1.00   0.0314 0.02
10.0   1.00   0.0628 0.02
15.0   1.50   0.1414 0.02
20.0   1.80   0.2262 0.02
25.0   2.10   0.3300 0.02
27.5   3.00   0.5184 0.02
30.0   4.00   0.7540 0.02
30.5   4.10   0.7854 0.02
31.0   4.50   0.8765 0.02
32.0   5.20   1.0455 0.02
33.0   6.00   1.2440 0.02
33.5   6.50   1.3681 0.02
34.0   6.70   1.4313 0.02
34.5   7.50   1.6258 0.02
35.0   7.50   1.6493 0.02
35.5   8.00   1.7844 0.02
36.0   8.50   1.9227 0.02
36.5   8.70   1.9952 0.02
37.0   9.00   2.0923 0.02
37.5   9.25   2.1795 0.02
38.0   9.50   2.2682 0.02
38.5   9.50   2.2980 0.02
39.0   9.50   2.3279 0.02
39.5   9.75   2.4198 0.02
40.0   9.75   2.4504 0.02
